name,rarity,value,relativeWeight
Gronn Giant,Golden Epic,4,1
Gruesome Nightmare,Golden Epic,4,1
Incensed Matriarch,Golden Common,0.5,1
Injured Attendant,Golden Rare,1,1
Inspiring Maul,Golden Common,0.5,1
Iridescent Flitterwing,Golden Common,0.5,1
Iso'rath,Golden Legendary,16,1
Lo'Gosh's Last Stand,Golden Common,0.5,1
Magmaw,Golden Legendary,16,1
Malevolent Mutant,Golden Epic,4,1
Maloriak,Golden Legendary,16,1
Maniacal Follower,Golden Epic,4,1
Medivh's Triumph,Golden Epic,4,1
Mend,Golden Common,0.5,1
Merithra of the Dream,Golden Legendary,16,1
Morchok,Golden Legendary,16,1
Mossbinding,Golden Rare,1,1
Muradin's Last Stand,Golden Rare,1,1
Nespirah Enthralled,Golden Legendary,16,1
Nozdormu Bronze Aspect,Golden Legendary,16,1
Obsessive Technician,Golden Common,0.5,1
Ocular Occultist,Golden Common,0.5,1
Purifying Breath,Golden Common,0.5,1
Rafaams' Last Stand,Golden Rare,1,1
Ragnaros the Great Fire,Golden Legendary,16,1
Raincaller,Golden Rare,1,1
Ravenous Felfisher,Golden Rare,1,1
Reinforcement Rallier,Golden Common,0.5,1
Rite of Twilight,Golden Rare,1,1
Ritual of Power,Golden Rare,1,1
Ruby Sanctum,Golden Rare,1,1
Sandfury Aura,Golden Rare,1,1
Scalebreaker Bulwark,Golden Common,0.5,1
Scaled Lancer,Golden Common,0.5,1
Schism,Golden Rare,1,1
Scorching Ravager,Golden Rare,1,1
Searing Fissure,Golden Common,0.5,1
Selfless Protector,Golden Rare,1,1
Shadowed Informant,Golden Rare,1,1
Shadowsworn Disciple,Golden Common,0.5,1
Sheltered Survivor,Golden Common,0.5,1
Shrine of Twilight,Golden Rare,1,1
Sigil of the Seas,Golden Common,0.5,1
Sindragosa's Triumph,Golden Rare,1,1
Sinestra,Golden Legendary,16,1
Skywall Sentinel,Golden Rare,1,1
Sleet Storm,Golden Common,0.5,1
Spearheart Sentry,Golden Rare,1,1
Spellweaver's Brilliance,Golden Common,0.5,1
Stickybomb Saboteur,Golden Epic,4,1
Stolen Power,Golden Common,0.5,1
Stonetalon Striker,Golden Rare,1,1
Stormbinder,Golden Common,0.5,1
Supply Run,Golden Common,0.5,1
Survivalist,Golden Epic,4,1
Sylvanas's Triumph,Golden Common,0.5,1
Talanji's Last Stand,Golden Rare,1,1
The Black Blood,Golden Legendary,16,1
Tol'vir Carver,Golden Rare,1,1
Torch,Golden Rare,1,1
Twilight Egg,Golden Common,0.5,1
Twilight Mistress,Golden Epic,4,1
Twisted Monstrosity,Golden Rare,1,1
Ultraxion,Golden Legendary,16,1
Unstable Spellcaster,Golden Epic,4,1
Victor Nefarius,Golden Legendary,16,1
Vulcanos,Golden Legendary,16,1
Vyranoth,Golden Legendary,16,1
War'loc,Golden Epic,4,1
Warmaster Blackhorn,Golden Legendary,16,1
Wickerfang,Golden Legendary,16,1
Wildwood Circle,Golden Rare,1,1
Winterspring Whelp,Golden Common,0.5,1
